Alpha,Choices,Outcomes
0.580274152,0.833333333,0.625
0.959029684,0.5625,0.479166667
0.69198556,0.875,0.625
0.021734307,0.375,0.458333333
0.630391705,0.833333333,0.583333333
0.856639283,0.833333333,0.625
0.305750498,0.833333333,0.625
0.165652001,0.75,0.666666667
0.027882296,0.729166667,0.604166667
0.607537566,0.875,0.625
0.151052177,0.916666667,0.666666667
0.536702088,0.916666667,0.666666667
0.098416676,0.708333333,0.5
0.648089137,0.916666667,0.666666667
0.255079466,0.75,0.583333333
0.335301469,0.916666667,0.666666667
0.16558127,0.8125,0.604166667
0.759284847,0.895833333,0.645833333
0.761222854,0.854166667,0.604166667
0.964357173,0.729166667,0.520833333
0.97857596,0.6875,0.520833333
0.319072458,0.916666667,0.666666667
0.314815899,0.916666667,0.666666667
0.816646007,0.916666667,0.666666667
0.151082697,0.5625,0.395833333
0.649133504,0.833333333,0.583333333
0.213486577,0.729166667,0.604166667
0.047627154,0.625,0.583333333
0.757617727,0.875,0.625
0.816797897,0.875,0.625
0.770085894,0.75,0.541666667
0.594798925,0.770833333,0.520833333
0.815190417,0.708333333,0.5
0.31495501,0.770833333,0.5625
0.944221994,0.791666667,0.583333333
0.763760533,0.916666667,0.666666667
0.28689044,0.75,0.625
0.02466891,0.541666667,0.583333333
0.466789793,0.8125,0.604166667
0.797675824,0.895833333,0.645833333
0.179199616,0.770833333,0.5625
0.320503721,0.8125,0.5625
0.663487259,0.9375,0.6875
0.987928085,0.6875,0.479166667
0.018195785,0.354166667,0.479166667
0.147501471,0.916666667,0.708333333
0.550324432,0.895833333,0.645833333
0.453331876,0.875,0.625
0.055859222,0.6875,0.604166667
0.580080559,0.833333333,0.625
0.611850285,0.791666667,0.583333333
0.182064881,0.645833333,0.5625
0.512127903,0.833333333,0.583333333
0.887664218,0.729166667,0.479166667
0.233000688,0.6875,0.5625
0.264861904,0.645833333,0.520833333
0.25191243,0.5625,0.4375
0.57832276,0.791666667,0.583333333
0.581139638,0.791666667,0.625
0.443687754,0.791666667,0.541666667
0.199844248,0.6875,0.5625
0.419676537,0.854166667,0.6875
0.181717856,0.958333333,0.708333333
0.299796419,0.729166667,0.6875
0.38329352,0.625,0.458333333
0.603538888,0.833333333,0.583333333
0.713740244,0.729166667,0.604166667
0.655794661,0.8125,0.5625
0.804884199,0.833333333,0.625
0.89150143,0.916666667,0.666666667
0.228599985,0.9375,0.729166667
0.060036648,0.645833333,0.6875
0.218602295,0.666666667,0.5
0.008208649,0.541666667,0.458333333
0.820597959,0.75,0.5
0.30973815,0.75,0.541666667
0.075224387,0.729166667,0.645833333
0.102611396,0.770833333,0.604166667
0.043551924,0.5625,0.645833333
0.809808719,0.8125,0.604166667
0.266404826,0.854166667,0.645833333
0.547275133,0.895833333,0.645833333
0.662451052,0.875,0.666666667
0.26669669,0.9375,0.6875
0.456421371,0.791666667,0.583333333
0.897125407,0.666666667,0.458333333
0.588904107,0.895833333,0.645833333
0.059389998,0.5625,0.604166667
0.425218521,0.958333333,0.708333333
0.08620737,0.895833333,0.645833333
0.273829473,0.9375,0.6875
0.141418082,0.5625,0.4375
0.226140917,0.791666667,0.583333333
0.852357022,0.8125,0.604166667
0.738590331,0.770833333,0.5625
0.886070189,0.729166667,0.520833333
0.07528444,0.729166667,0.645833333
0.797638,0.75,0.541666667
0.653818756,0.916666667,0.666666667
0.054413432,0.8125,0.645833333
0.17170475,0.958333333,0.708333333
0.088267826,0.895833333,0.729166667
0.840218889,0.770833333,0.5625
0.015917592,0.604166667,0.520833333
0.097031545,0.8125,0.5625
0.383316643,0.791666667,0.541666667
0.437188651,0.916666667,0.666666667
0.823514173,0.833333333,0.583333333
0.541298702,0.895833333,0.645833333
0.932038448,0.916666667,0.666666667
0.486799941,0.8125,0.5625
0.946673009,0.729166667,0.520833333
0.301245744,0.75,0.541666667
0.214957954,0.6875,0.5625
0.623050455,0.8125,0.5625
0.077727226,0.583333333,0.458333333
0.936334904,0.770833333,0.520833333
0.650891936,0.791666667,0.541666667
0.394950664,0.75,0.541666667
0.361946665,0.833333333,0.625
0.724705272,0.916666667,0.666666667
0.700433987,0.916666667,0.666666667
0.391293065,0.791666667,0.583333333
0.437209128,0.916666667,0.666666667
0.647598978,0.875,0.625
0.873121881,0.8125,0.604166667
0.659505552,0.895833333,0.645833333
0.437790018,0.833333333,0.625
0.02404412,0.666666667,0.666666667
0.445166785,0.9375,0.6875
0.319009729,0.875,0.625
0.293069075,0.8125,0.645833333
0.603049765,0.916666667,0.666666667
0.61034267,0.75,0.625
0.333441069,0.8125,0.604166667
0.637753881,0.895833333,0.645833333
0.581805195,0.854166667,0.604166667
0.114341522,0.916666667,0.666666667
0.114305585,0.583333333,0.458333333
0.390830207,0.9375,0.6875
0.491454315,0.9375,0.6875
0.364696933,0.75,0.541666667
0.397190525,0.708333333,0.5
0.737152355,0.895833333,0.645833333
0.977637573,0.75,0.541666667
0.577212837,0.875,0.625
0.783322206,0.854166667,0.645833333
0.317410809,0.666666667,0.625
0.323862824,0.854166667,0.604166667
0.5118257,0.770833333,0.604166667
0.217452285,0.708333333,0.583333333
0.394697901,0.833333333,0.583333333
0.31401392,0.708333333,0.583333333
0.538502492,0.791666667,0.541666667
0.39033849,0.770833333,0.5625
0.456187722,0.895833333,0.645833333
0.952285959,0.729166667,0.520833333
0.58545927,0.895833333,0.645833333
0.684528757,0.875,0.666666667
0.85776057,0.75,0.583333333
0.303446781,0.854166667,0.645833333
0.135096278,0.8125,0.729166667
0.196265146,0.604166667,0.5625
0.788121505,0.875,0.625
0.091444487,0.604166667,0.520833333
0.899506705,0.791666667,0.541666667
0.190080338,0.729166667,0.520833333
0.404578422,0.916666667,0.666666667
0.554411909,0.770833333,0.5625
0.459102428,0.9375,0.6875
0.596694068,0.875,0.666666667
0.979370874,0.645833333,0.479166667
0.660196864,0.8125,0.604166667
0.652492179,0.75,0.583333333
0.626846773,0.75,0.583333333
0.499324312,0.916666667,0.666666667
0.067127491,0.6875,0.520833333
0.473659524,0.875,0.666666667
0.280768929,0.833333333,0.666666667
0.329463816,0.9375,0.6875
0.377409248,0.770833333,0.604166667
0.867724942,0.916666667,0.666666667
0.195308161,0.791666667,0.625
0.488153239,0.854166667,0.604166667
0.399044662,0.833333333,0.583333333
0.064294623,0.729166667,0.5625
0.492641236,0.895833333,0.645833333
0.679164707,0.708333333,0.5
0.638341813,0.75,0.541666667
0.725608155,0.895833333,0.645833333
0.023303598,0.395833333,0.354166667
0.394759415,0.854166667,0.645833333
0.577817466,0.875,0.625
0.75339511,0.791666667,0.583333333
0.022790481,0.604166667,0.5625
0.890227102,0.8125,0.5625
0.390025237,0.729166667,0.5625
0.143423299,0.854166667,0.645833333
0.584172844,0.916666667,0.666666667
0.009458968,0.541666667,0.5
0.432112516,0.833333333,0.625
0.317308011,0.791666667,0.625
0.378919057,0.729166667,0.5625
0.290153265,0.833333333,0.583333333
0.15373045,0.75,0.625
0.452455314,0.854166667,0.645833333
0.99713505,0.625,0.5
0.745031979,0.833333333,0.625
0.908405035,0.791666667,0.541666667
0.816022903,0.8125,0.604166667
0.29907712,0.875,0.666666667
0.273129581,0.875,0.666666667
0.351906074,0.6875,0.5625
0.20600987,0.75,0.541666667
0.189306573,0.916666667,0.75
0.168714494,0.645833333,0.520833333
0.465866479,0.854166667,0.604166667
0.245120442,0.6875,0.604166667
0.570429432,0.833333333,0.625
0.385179366,0.791666667,0.625
0.139529576,0.791666667,0.625
0.453850802,0.791666667,0.583333333
0.348171275,0.854166667,0.6875
0.199914683,0.729166667,0.5625
0.827683193,0.8125,0.5625
0.122915337,0.854166667,0.645833333
0.34427065,0.729166667,0.520833333
0.615887752,0.895833333,0.645833333
0.309061534,0.916666667,0.666666667
0.798150503,0.916666667,0.666666667
0.027421192,0.791666667,0.625
0.890709579,0.916666667,0.666666667
0.592502142,0.895833333,0.645833333
0.761351208,0.854166667,0.604166667
0.037535831,0.583333333,0.5
0.478894749,0.854166667,0.604166667
0.390776901,0.791666667,0.583333333
0.283236937,0.708333333,0.583333333
0.925569768,0.708333333,0.5
0.845702605,0.8125,0.5625
0.680413273,0.8125,0.604166667
0.121027568,0.833333333,0.625
0.231946339,0.916666667,0.666666667
0.612866934,0.8125,0.645833333
0.701210976,0.895833333,0.645833333
0.09299564,0.75,0.541666667
0.339795868,0.833333333,0.625
0.936310386,0.791666667,0.583333333
0.507048806,0.9375,0.6875
0.772344284,0.833333333,0.583333333
0.646446743,0.916666667,0.666666667
0.986017889,0.8125,0.5625
0.894429864,0.75,0.541666667
0.639010033,0.833333333,0.625
0.977827037,0.833333333,0.583333333
0.101353535,0.916666667,0.666666667
0.136178846,0.645833333,0.604166667
0.325474798,0.770833333,0.604166667
0.133592157,0.916666667,0.708333333
0.997776002,0.729166667,0.520833333
0.6055579,0.708333333,0.541666667
0.886984008,0.791666667,0.541666667
0.257577451,0.708333333,0.541666667
0.834063802,0.770833333,0.5625
0.171779248,0.916666667,0.666666667
0.297946526,0.833333333,0.583333333
0.627152164,0.666666667,0.541666667
0.099061124,0.625,0.541666667
0.394440454,0.708333333,0.541666667
0.907700549,0.708333333,0.5
0.292513361,0.8125,0.604166667
0.968516818,0.708333333,0.5
0.857056869,0.729166667,0.479166667
0.665847873,0.833333333,0.583333333
0.467529736,0.75,0.625
0.023617506,0.458333333,0.458333333
0.939013953,0.8125,0.5625
0.642579483,0.708333333,0.5
0.543254651,0.75,0.583333333
0.914181325,0.75,0.5
0.62564212,0.666666667,0.5
0.855429197,0.75,0.541666667
0.060026931,0.583333333,0.458333333
0.413108675,0.8125,0.645833333
0.000350127,0.4375,0.4375
0.945527461,0.6875,0.479166667
0.811756721,0.625,0.416666667
0.642926607,0.916666667,0.666666667
0.646810229,0.791666667,0.583333333
0.681691808,0.770833333,0.520833333
0.274647166,0.729166667,0.5625
0.029472664,0.5625,0.479166667
0.444854987,0.729166667,0.5625
0.28929376,0.6875,0.604166667
0.757978372,0.854166667,0.604166667
0.655673591,0.9375,0.6875
0.504752365,0.770833333,0.604166667
0.875534599,0.770833333,0.604166667
0.959509618,0.770833333,0.604166667
0.019549573,0.625,0.625
0.248619273,0.8125,0.645833333
0.646445771,0.875,0.666666667
0.769654973,0.75,0.5
0.78475696,0.895833333,0.645833333
0.932874791,0.895833333,0.645833333
0.044637878,0.6875,0.479166667
0.339460902,0.854166667,0.645833333
0.495900992,0.9375,0.6875
0.362154989,0.875,0.625
0.41880233,0.9375,0.6875
0.481412479,0.916666667,0.666666667
0.244959387,0.666666667,0.5
0.571730426,0.875,0.625
0.369457045,0.916666667,0.666666667
0.871816614,0.729166667,0.520833333
0.842891097,0.708333333,0.583333333
0.142100779,0.791666667,0.541666667
0.393044048,0.9375,0.6875
0.6540645,0.9375,0.6875
0.164637981,0.75,0.625
0.322863866,0.875,0.666666667
0.536244641,0.729166667,0.604166667
0.170103797,0.875,0.625
0.981513944,0.583333333,0.416666667
0.727161577,0.6875,0.5625
0.258264146,0.625,0.541666667
0.710996765,0.833333333,0.625
0.772865149,0.895833333,0.645833333
0.171077611,0.770833333,0.5625
0.103943416,0.6875,0.604166667
0.843880352,0.6875,0.520833333
0.424678386,0.875,0.625
0.637696022,0.854166667,0.604166667
0.274032114,0.958333333,0.708333333
0.958914933,0.833333333,0.583333333
0.562300143,0.708333333,0.583333333
0.492705784,0.6875,0.6875
0.821673165,0.875,0.625
0.872357488,0.6875,0.5625
0.33313863,0.75,0.541666667
0.582472496,0.833333333,0.583333333
0.408766752,0.708333333,0.583333333
0.316661956,0.875,0.625
0.96981085,0.895833333,0.645833333
0.222819328,0.916666667,0.666666667
0.769007426,0.6875,0.520833333
0.746017928,0.854166667,0.645833333
0.712586298,0.770833333,0.5625
0.13288517,0.729166667,0.645833333
0.060179272,0.854166667,0.604166667
0.557263961,0.895833333,0.645833333
0.791877841,0.791666667,0.541666667
0.107734883,0.979166667,0.729166667
0.295765397,0.75,0.541666667
0.737624492,0.8125,0.5625
0.846428656,0.75,0.583333333
0.981443511,0.8125,0.5625
0.414735144,0.875,0.625
0.95412318,0.8125,0.5625
0.620679887,0.854166667,0.645833333
0.94069453,0.833333333,0.583333333
0.716213016,0.895833333,0.645833333
0.965913572,0.6875,0.4375
0.532331384,0.895833333,0.645833333
0.879854234,0.708333333,0.541666667
0.886118075,0.625,0.458333333
0.178152359,0.729166667,0.729166667
0.059232914,0.729166667,0.645833333
0.149527175,0.708333333,0.708333333
0.471138651,0.854166667,0.604166667
0.637361907,0.9375,0.6875
0.511462607,0.75,0.541666667
0.675841967,0.833333333,0.666666667
0.071462246,0.625,0.541666667
0.136931267,0.729166667,0.6875
0.305541719,0.833333333,0.583333333
0.797511578,0.854166667,0.604166667
0.198165,0.666666667,0.583333333
0.179844023,0.833333333,0.75
0.803914847,0.833333333,0.625
0.525967846,0.854166667,0.604166667
0.786585551,0.729166667,0.520833333
0.167156987,0.9375,0.6875
0.360117161,0.895833333,0.645833333
0.757016681,0.8125,0.604166667
0.979382027,0.75,0.5
0.767605025,0.895833333,0.645833333
0.56938161,0.916666667,0.666666667
0.644132963,0.791666667,0.583333333
0.66340361,0.708333333,0.5
0.099176917,0.520833333,0.520833333
0.611515599,0.916666667,0.666666667
0.811638396,0.9375,0.6875
0.728954831,0.729166667,0.5625
0.045353065,0.916666667,0.666666667
0.167400384,0.604166667,0.4375
0.60290967,0.854166667,0.645833333
0.614497758,0.875,0.625
0.353733282,0.729166667,0.6875
0.620659154,0.8125,0.604166667
0.966076581,0.770833333,0.520833333
0.247636238,0.666666667,0.541666667
0.936081242,0.770833333,0.520833333
0.184641374,0.708333333,0.583333333
0.567383743,0.895833333,0.645833333
0.721808273,0.708333333,0.541666667
0.169569797,0.75,0.625
0.41553388,0.895833333,0.6875
0.164705484,0.916666667,0.666666667
0.997333577,0.6875,0.4375
0.341889309,0.666666667,0.583333333
0.718311961,0.75,0.5
0.377402638,0.854166667,0.604166667
0.338013183,0.833333333,0.625
0.948793305,0.8125,0.5625
0.562305849,0.770833333,0.5625
0.234775899,0.958333333,0.708333333
0.674270588,0.8125,0.604166667
0.569355874,0.8125,0.604166667
0.059590291,0.4375,0.479166667
0.8107347,0.770833333,0.645833333
0.036774978,0.5625,0.4375
0.929202797,0.770833333,0.5625
0.931628793,0.625,0.458333333
0.336949048,0.916666667,0.666666667
0.028758125,0.458333333,0.5
0.063739566,0.520833333,0.5625
0.864051807,0.833333333,0.666666667
0.439500539,0.895833333,0.645833333
0.525060612,0.770833333,0.604166667
0.245708023,0.916666667,0.666666667
0.113414249,0.75,0.666666667
0.555813702,0.833333333,0.583333333
0.80373932,0.833333333,0.583333333
0.305632006,0.708333333,0.541666667
0.155351858,0.791666667,0.708333333
0.230460647,0.645833333,0.5625
0.934018262,0.833333333,0.625
0.792208477,0.895833333,0.645833333
0.617830537,0.916666667,0.666666667
0.204012132,0.875,0.666666667
0.049783433,0.645833333,0.645833333
0.173410784,0.5625,0.479166667
0.882802336,0.854166667,0.604166667
0.501586638,0.770833333,0.6875
0.625559294,0.895833333,0.645833333
0.119741328,0.75,0.583333333
0.730597103,0.875,0.625
0.687454681,0.916666667,0.666666667
0.715295437,0.854166667,0.604166667
0.386246341,0.875,0.625
0.351663628,0.895833333,0.645833333
0.153928461,0.6875,0.645833333
0.145010167,0.791666667,0.625
0.378887106,0.791666667,0.583333333
0.963281604,0.791666667,0.583333333
0.058501585,0.645833333,0.5625
0.485343195,0.6875,0.479166667
0.533311221,0.875,0.625
0.46638178,0.916666667,0.666666667
0.559236418,0.895833333,0.645833333
0.180463019,0.770833333,0.645833333
0.840268633,0.708333333,0.5
0.522217287,0.75,0.541666667
0.661135155,0.875,0.666666667
0.679407174,0.666666667,0.458333333
0.598023406,0.895833333,0.645833333
0.010442996,0.625,0.708333333
0.109486761,0.895833333,0.645833333
0.408295361,0.8125,0.604166667
0.155344576,0.75,0.583333333
0.470598308,0.916666667,0.708333333
0.634232007,0.75,0.541666667
0.911846785,0.666666667,0.5
0.229421362,0.708333333,0.625
0.148053924,0.604166667,0.520833333
0.317202462,0.791666667,0.541666667
0.3845892,0.9375,0.6875
0.031599829,0.541666667,0.458333333
0.106688689,0.833333333,0.625
0.140802526,0.791666667,0.583333333
0.853024186,0.8125,0.5625
0.537395783,0.729166667,0.604166667
0.024364346,0.625,0.5
0.107486095,0.541666667,0.541666667
0.453668538,0.75,0.583333333
0.937664138,0.854166667,0.604166667
0.422321808,0.770833333,0.5625
0.619149578,0.9375,0.6875
0.09702676,0.895833333,0.645833333
0.523905617,0.791666667,0.541666667
0.445893065,0.854166667,0.645833333
0.414416382,0.833333333,0.583333333
0.67428838,0.8125,0.604166667
0.174172227,0.6875,0.520833333
0.141835104,0.645833333,0.645833333
0.695884847,0.916666667,0.666666667
0.085035484,0.9375,0.729166667
0.658646555,0.854166667,0.645833333
0.858928872,0.729166667,0.5625
0.77678893,0.791666667,0.541666667
0.654650538,0.916666667,0.666666667
0.85966869,0.645833333,0.520833333
0.46319064,0.770833333,0.6875
0.263040355,0.625,0.541666667
0.655347097,0.833333333,0.583333333
0.709078959,0.875,0.625
0.059875656,0.875,0.625
0.635017982,0.895833333,0.645833333
0.704079926,0.770833333,0.5625
0.470059502,0.875,0.666666667
0.153141742,0.75,0.708333333
0.402138828,0.854166667,0.604166667
0.896199917,0.708333333,0.5
0.268806786,0.958333333,0.708333333
0.562390693,0.895833333,0.645833333
0.797800081,0.916666667,0.666666667
0.695722194,0.916666667,0.666666667
0.296679112,0.8125,0.604166667
0.637446737,0.875,0.625
0.986573374,0.75,0.583333333
0.96748682,0.708333333,0.5
0.153526791,0.583333333,0.5
0.235692207,0.833333333,0.708333333
0.774419806,0.895833333,0.645833333
0.032483205,0.395833333,0.4375
0.89296531,0.854166667,0.604166667
0.940010504,0.8125,0.5625
0.788661107,0.895833333,0.645833333
0.127884785,0.729166667,0.5625
0.90524497,0.8125,0.5625
0.61260486,0.875,0.625
0.455524884,0.895833333,0.645833333
0.554873987,0.833333333,0.625
0.695335288,0.9375,0.6875
0.122693139,0.666666667,0.625
0.186893542,0.6875,0.645833333
0.25333767,0.916666667,0.666666667
0.114164492,0.625,0.625
0.822327886,0.854166667,0.645833333
0.220060442,0.854166667,0.604166667
0.207960859,0.895833333,0.645833333
0.448313646,0.875,0.625
0.75505194,0.895833333,0.645833333
0.836571173,0.833333333,0.583333333
0.498512982,0.8125,0.604166667
0.728805628,0.854166667,0.604166667
0.905426303,0.729166667,0.479166667
0.226171241,0.895833333,0.645833333
0.423441176,0.729166667,0.5625
0.192725543,0.75,0.666666667
0.956904115,0.8125,0.5625
0.809573645,0.791666667,0.583333333
0.581974091,0.916666667,0.666666667
0.589796679,0.916666667,0.666666667
0.531537573,0.854166667,0.604166667
0.496233474,0.895833333,0.6875
0.816813901,0.770833333,0.520833333
0.607971233,0.8125,0.5625
0.316903016,0.958333333,0.708333333
0.055103208,0.8125,0.604166667
0.988740222,0.708333333,0.458333333
0.552953823,0.770833333,0.5625
0.164704196,0.9375,0.6875
0.845974706,0.8125,0.604166667
0.326046896,0.9375,0.6875
0.131817001,0.875,0.625
0.572400124,0.791666667,0.541666667
0.563079227,0.8125,0.645833333
0.578000812,0.875,0.666666667
0.495299104,0.916666667,0.666666667
0.415127259,0.770833333,0.5625
0.902769318,0.708333333,0.583333333
0.961030724,0.854166667,0.604166667
0.010711098,0.458333333,0.416666667
0.385136378,0.729166667,0.5625
0.984215774,0.770833333,0.5625
0.171666022,0.645833333,0.604166667
0.550020142,0.916666667,0.666666667
0.873727989,0.770833333,0.520833333
0.480391465,0.833333333,0.625
0.564676383,0.708333333,0.541666667
0.016774,0.5625,0.5625
0.093472884,0.875,0.666666667
0.131845109,0.708333333,0.666666667
0.427047316,0.791666667,0.583333333
0.987706157,0.645833333,0.520833333
0.305229148,0.875,0.666666667
0.762737687,0.833333333,0.625
0.015071039,0.5625,0.6875
0.362614989,0.708333333,0.5
0.746269915,0.9375,0.6875
0.832633596,0.770833333,0.604166667
0.603873937,0.854166667,0.604166667
0.540586139,0.8125,0.604166667
0.046803895,0.583333333,0.541666667
0.849181719,0.8125,0.604166667
0.106920533,0.854166667,0.645833333
0.201134265,0.708333333,0.625
0.246078739,0.8125,0.645833333
0.648186365,0.916666667,0.666666667
0.630911129,0.895833333,0.645833333
0.160489649,0.708333333,0.541666667
0.376267289,0.895833333,0.645833333
0.528049739,0.8125,0.729166667
0.332974524,0.875,0.666666667
0.865687827,0.729166667,0.479166667
0.191430519,0.854166667,0.6875
0.484603587,0.8125,0.645833333
0.253204472,0.583333333,0.5
0.220803711,0.791666667,0.583333333
0.527628739,0.895833333,0.645833333
0.258427432,0.708333333,0.625
0.083790204,0.708333333,0.583333333
0.289301839,0.895833333,0.645833333
0.062026466,0.6875,0.604166667
0.417240346,0.9375,0.6875
0.376947178,0.8125,0.645833333
0.363586355,0.9375,0.6875
0.901421236,0.8125,0.5625
0.862673336,0.854166667,0.604166667
0.675374482,0.895833333,0.645833333
0.539157114,0.9375,0.6875
0.085247496,0.666666667,0.458333333
0.170886694,0.729166667,0.604166667
0.971526122,0.791666667,0.541666667
0.649331512,0.895833333,0.645833333
0.316314817,0.916666667,0.666666667
0.102830336,0.583333333,0.541666667
0.161148239,0.833333333,0.708333333
0.398247395,0.791666667,0.625
0.101795751,0.6875,0.6875
0.807539586,0.875,0.625
0.486544879,0.875,0.625
0.462864439,0.75,0.75
0.640679086,0.75,0.583333333
0.047902355,0.666666667,0.5
0.204879101,0.854166667,0.604166667
0.346651435,0.875,0.625
0.366115465,0.666666667,0.5
0.504880329,0.8125,0.5625
0.52001921,0.854166667,0.604166667
0.950623927,0.729166667,0.520833333
0.999275657,0.854166667,0.604166667
0.866096936,0.854166667,0.604166667
0.705188619,0.708333333,0.583333333
0.338783309,0.916666667,0.666666667
0.425127963,0.8125,0.604166667
0.341973121,0.791666667,0.583333333
0.402137247,0.791666667,0.583333333
0.986933372,0.708333333,0.5
0.864182502,0.6875,0.479166667
0.132268151,0.729166667,0.645833333
0.148860522,0.645833333,0.5625
0.708135477,0.8125,0.5625
0.460569741,0.854166667,0.604166667
0.973187725,0.666666667,0.541666667
0.829832673,0.8125,0.604166667
0.419900863,0.770833333,0.520833333
0.67677297,0.854166667,0.604166667
0.563788596,0.895833333,0.645833333
0.343528229,0.875,0.625
0.400105257,0.916666667,0.708333333
0.526332829,0.895833333,0.645833333
0.915282461,0.770833333,0.520833333
0.857967654,0.770833333,0.520833333
0.259879924,0.895833333,0.645833333
0.117914012,0.791666667,0.583333333
0.019891229,0.583333333,0.625
0.697195382,0.8125,0.5625
0.658548491,0.770833333,0.520833333
0.905627591,0.9375,0.6875
0.681395866,0.75,0.583333333
0.586349043,0.916666667,0.666666667
0.177169797,0.958333333,0.708333333
0.29069561,0.729166667,0.604166667
0.385390125,0.791666667,0.583333333
0.843852518,0.8125,0.604166667
0.207354119,0.916666667,0.666666667
0.996840283,0.8125,0.645833333
0.19427495,0.770833333,0.5625
0.956581707,0.729166667,0.479166667
0.734907997,0.770833333,0.520833333
0.184986376,0.833333333,0.625
0.122407068,0.604166667,0.5625
0.491047848,0.916666667,0.666666667
0.865792009,0.770833333,0.5625
0.625281227,0.895833333,0.645833333
0.206684682,0.833333333,0.583333333
0.039489892,0.5625,0.4375
0.813837345,0.645833333,0.479166667
0.035375148,0.875,0.666666667
0.686908615,0.9375,0.6875
0.959506513,0.791666667,0.583333333
0.791811534,0.854166667,0.604166667
0.447781098,0.833333333,0.708333333
0.652740947,0.8125,0.604166667
0.670244448,0.729166667,0.520833333
0.110430558,0.604166667,0.479166667
0.458175933,0.770833333,0.604166667
0.425228482,0.916666667,0.666666667
0.870831251,0.729166667,0.520833333
0.082362312,0.625,0.583333333
0.00588082,0.520833333,0.5625
0.493851473,0.770833333,0.5625
0.406484143,0.875,0.666666667
0.915169765,0.791666667,0.583333333
0.733575693,0.833333333,0.625
0.875652854,0.875,0.625
0.147312152,0.729166667,0.604166667
0.93989279,0.791666667,0.583333333
0.459368419,0.729166667,0.5625
0.848395839,0.833333333,0.625
0.386961807,0.854166667,0.604166667
0.235113913,0.9375,0.6875
0.542960132,0.791666667,0.583333333
0.251015506,0.916666667,0.666666667
0.992713701,0.729166667,0.520833333
0.327629794,0.791666667,0.666666667
0.264692691,0.708333333,0.458333333
0.907047575,0.916666667,0.666666667
0.212539605,0.895833333,0.6875
0.908624137,0.854166667,0.604166667
0.702690798,0.833333333,0.625
0.785086854,0.854166667,0.604166667
0.28718735,0.729166667,0.5625
0.714989991,0.875,0.625
0.058398939,0.583333333,0.625
0.145686024,0.708333333,0.583333333
0.806492307,0.770833333,0.5625
0.162493277,0.958333333,0.708333333
0.352136587,0.833333333,0.583333333
0.088171913,0.833333333,0.666666667
